File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
AC-Oracle/200923-1254-296.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-299.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-2.lg, Correct,0,0,0,0,0,0.0,11,110,0,0,0,11,0,0,8,8,0,8,8,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-300.lg, Correct,0,0,0,0,0,0.0,9,72,0,0,0,9,0,0,5,5,0,5,5,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-301.lg, Incorrect,7,1,6,0,6,0.3536979525555275,6,30,0,3,3,5,0,0,4,4,0,1,1,3,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-302.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-303.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-305.lg, Incorrect,12,2,10,2,8,0.40336670088684573,7,42,0,5,4,5,2,1,5,5,0,3,3,2,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-306.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-309.lg, Incorrect,5,1,4,0,4,0.17387900711859464,10,90,0,2,2,9,0,0,7,7,0,5,5,2,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-30.lg, Incorrect,7,1,6,0,6,0.1262425886722793,16,240,0,3,3,15,0,0,13,13,0,10,10,3,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-311.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-315.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-319.lg, Incorrect,8,2,6,0,6,0.21630584943836517,11,110,0,3,3,0,0,0,8,8,0,5,5,4,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-31.lg, Incorrect,5,1,4,0,4,0.12264276603100395,14,182,0,2,2,13,0,0,13,13,0,10,10,3,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-320.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-321.lg, Correct,0,0,0,0,0,0.0,9,72,0,0,0,9,0,0,7,7,0,7,7,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-323.lg, Incorrect,5,1,4,0,4,0.46823351279308384,4,12,0,2,2,3,0,0,3,3,0,0,0,3,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-324.lg, Correct,0,0,0,0,0,0.0,6,30,0,0,0,6,0,0,5,5,0,5,5,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-326.lg, Correct,0,0,0,0,0,0.0,9,72,0,0,0,9,0,0,7,7,0,7,7,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-327.lg, Incorrect,14,2,12,0,12,0.532748132466895,6,30,0,6,6,0,0,0,3,3,0,0,0,4,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-32.lg, Correct,0,0,0,0,0,0.0,16,240,0,0,0,16,0,0,10,10,0,10,10,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-330.lg, Incorrect,5,1,4,0,4,0.17387900711859464,10,90,0,2,2,9,0,0,7,7,0,5,5,2,0,0,0,0,0,1,1,0
AC-Oracle/200923-1254-332.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-333.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-334.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-335.lg, Correct,0,0,0,0,0,0.0,7,42,0,0,0,7,0,0,5,5,0,5,5,0,0,0,0,1,1,1,1,1
AC-Oracle/200923-1254-336.lg, Correct,0,0,0,0,0,0.0,9,72,0,0,0,9,0,0,7,7,0,7,7,0,0,0,0,1,1,1,1,1
