File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
K-Oracle/200922-1017-11.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-121.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-122.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-124.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-126.lg, Correct,0,0,0,0,0,0.0,6,30,0,0,0,6,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-12.lg, Incorrect,7,1,6,0,6,0.11862259743492233,17,272,0,3,3,16,0,0,11,11,0,8,8,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-130.lg, Correct,0,0,0,0,0,0.0,8,56,0,0,0,8,0,0,8,8,0,8,8,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-132.lg, Incorrect,7,1,6,0,6,0.554737854124365,4,12,0,3,3,3,0,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-133.lg, Correct,0,0,0,0,0,0.0,7,42,0,0,0,7,0,0,5,5,0,5,5,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-135.lg, Correct,0,0,0,0,0,0.0,8,56,0,0,0,8,0,0,6,6,0,6,6,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-13.lg, Correct,0,0,0,0,0,0.0,13,156,0,0,0,13,0,0,8,8,0,8,8,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-140.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-141.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-142.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-143.lg, Incorrect,7,1,6,0,6,0.554737854124365,4,12,0,3,3,3,0,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-144.lg, Incorrect,12,2,10,0,10,0.22007194579599573,13,156,0,5,5,11,0,0,9,9,0,3,3,6,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-145.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-147.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-148.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-149.lg, Correct,0,0,0,0,0,0.0,5,20,0,0,0,5,0,0,5,5,0,5,5,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-14.lg, Incorrect,5,1,4,0,4,0.12264276603100395,14,182,0,2,2,13,0,0,10,10,0,7,7,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-151.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-153.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-154.lg, Correct,0,0,0,0,0,0.0,7,42,0,0,0,7,0,0,6,6,0,6,6,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-157.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-158.lg, Incorrect,5,1,4,0,4,0.21984082794161627,8,56,0,2,2,7,0,0,7,7,0,5,5,2,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-159.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-15.lg, Correct,0,0,0,0,0,0.0,13,156,0,0,0,13,0,0,7,7,0,7,7,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-163.lg, Correct,0,0,0,0,0,0.0,5,20,0,0,0,5,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-164.lg, Incorrect,5,1,4,0,4,0.3648090636666386,5,20,0,2,2,4,0,0,4,4,0,1,1,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-165.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-167.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-172.lg, Incorrect,4,0,4,0,4,0.2434322477800738,6,30,0,2,2,6,0,0,5,5,0,2,2,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-173.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-176.lg, Incorrect,5,1,4,0,4,0.29898780333562935,6,30,0,2,2,5,0,0,5,5,0,2,2,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-177.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-178.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-17.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-180.lg, Correct,0,0,0,0,0,0.0,5,20,0,0,0,5,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-18.lg, Incorrect,5,1,4,0,4,0.1323931281777504,13,156,0,2,2,12,0,0,9,9,0,6,6,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-19.lg, Incorrect,5,1,4,0,4,0.14382954841490966,12,132,0,2,2,11,0,0,8,8,0,5,5,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-1.lg, Incorrect,5,1,4,0,4,0.09474011191518912,18,306,0,2,2,17,0,0,13,13,0,10,10,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-20.lg, Incorrect,49,7,42,6,36,0.2529218983724957,26,650,0,21,18,19,6,3,14,14,0,4,4,10,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-24.lg, Correct,0,0,0,0,0,0.0,19,342,0,0,0,19,0,0,14,14,0,14,14,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-26.lg, Incorrect,10,2,8,0,8,0.265428264666648,10,90,0,4,4,8,0,0,8,8,0,2,2,6,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-29.lg, Correct,0,0,0,0,0,0.0,4,12,0,0,0,4,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
